iter	Passed	Remaining
0	139	139357
1	140	70067
2	141	46937
3	142	35378
4	143	28461
5	143	23840
6	144	20532
7	145	18068
8	146	16143
9	147	14605
10	148	13344
11	149	12296
12	150	11407
13	151	10641
14	151	9978
15	152	9409
16	153	8897
17	154	8446
18	155	8037
19	156	7671
20	157	7338
21	158	7037
22	159	6763
23	160	6510
24	161	6280
25	161	6065
26	162	5867
27	163	5688
28	164	5519
29	165	5363
30	166	5215
31	167	5076
32	168	4945
33	169	4821
34	170	4701
35	171	4591
36	172	4485
37	173	4384
38	174	4291
39	175	4201
40	175	4114
41	176	4036
42	177	3958
43	178	3883
44	179	3811
45	180	3744
46	181	3681
47	182	3619
48	183	3560
49	184	3501
50	185	3445
51	186	3393
52	187	3343
53	187	3293
54	189	3248
55	189	3201
56	190	3156
57	191	3110
58	192	3066
59	193	3024
60	193	2983
61	194	2944
62	195	2906
63	196	2871
64	197	2837
65	198	2802
66	198	2768
67	199	2736
68	200	2705
69	201	2674
70	202	2647
71	203	2620
72	204	2592
73	205	2565
74	206	2540
75	206	2515
76	207	2491
77	208	2468
78	209	2444
79	210	2421
80	211	2400
81	212	2380
82	213	2362
83	214	2342
84	215	2321
85	216	2302
86	217	2282
87	218	2263
88	219	2244
89	220	2225
90	220	2207
91	221	2189
92	222	2172
93	223	2156
94	224	2138
95	225	2123
96	226	2108
97	227	2093
98	228	2079
99	229	2063
100	230	2049
101	231	2034
102	231	2019
103	232	2004
104	233	1990
105	234	1976
106	235	1961
107	235	1946
108	236	1932
109	237	1918
110	237	1905
111	238	1894
112	239	1881
113	240	1868
114	241	1857
115	242	1847
116	243	1836
117	244	1825
118	245	1814
119	245	1803
120	246	1794
121	247	1783
122	248	1774
123	249	1763
124	250	1753
125	251	1744
126	252	1736
127	253	1727
128	254	1719
129	255	1710
130	256	1700
131	257	1691
132	258	1684
133	259	1675
134	260	1666
135	261	1658
136	262	1650
137	262	1642
138	263	1634
139	264	1626
140	265	1618
141	266	1610
142	267	1603
143	268	1596
144	269	1590
145	270	1582
146	271	1574
147	272	1568
148	273	1561
149	274	1554
150	275	1547
151	276	1541
152	277	1534
153	278	1527
154	279	1521
155	280	1514
156	281	1509
157	282	1503
158	282	1496
159	283	1489
160	284	1483
161	285	1476
162	286	1469
163	287	1463
164	287	1457
165	288	1450
166	289	1444
167	290	1437
168	291	1431
169	291	1425
170	292	1419
171	293	1413
172	294	1407
173	295	1401
174	296	1396
175	297	1390
176	297	1385
177	298	1380
178	299	1374
179	300	1369
180	301	1364
181	302	1359
182	303	1354
183	304	1349
184	305	1345
185	306	1340
186	307	1336
187	308	1332
188	309	1328
189	310	1323
190	311	1318
191	312	1314
192	313	1309
193	314	1305
194	315	1300
195	315	1295
196	316	1291
197	317	1286
198	318	1281
199	319	1277
200	320	1272
201	321	1268
202	321	1264
203	322	1259
204	323	1255
205	324	1250
206	325	1246
207	326	1241
208	326	1236
209	327	1232
210	328	1227
211	329	1223
212	329	1219
213	330	1214
214	331	1210
215	332	1206
216	333	1202
217	334	1198
218	335	1195
219	336	1191
220	336	1187
221	337	1184
222	338	1180
223	339	1177
224	340	1173
225	341	1170
226	342	1166
227	343	1162
228	344	1159
229	345	1155
230	346	1152
231	347	1148
232	347	1145
233	348	1141
234	349	1138
235	350	1134
236	351	1130
237	352	1127
238	352	1123
239	353	1120
240	354	1116
241	355	1112
242	356	1109
243	356	1105
244	357	1101
245	358	1098
246	359	1094
247	360	1091
248	360	1088
249	361	1085
250	362	1081
251	363	1078
252	364	1075
253	364	1071
254	365	1068
255	366	1065
256	367	1062
257	368	1059
258	369	1056
259	369	1052
260	370	1049
261	371	1046
262	372	1043
263	373	1040
264	373	1037
265	374	1033
266	375	1030
267	376	1027
268	376	1024
269	377	1021
270	378	1018
271	379	1015
272	380	1013
273	381	1010
274	381	1006
275	382	1003
276	383	1000
277	384	998
278	385	995
279	385	992
280	386	989
281	387	986
282	388	983
283	389	980
284	389	977
285	390	975
286	391	972
287	392	969
288	392	966
289	393	964
290	394	961
291	395	958
292	395	955
293	396	952
294	397	949
295	398	947
296	398	944
297	399	941
298	400	938
299	401	936
300	402	933
301	402	931
302	403	928
303	404	925
304	405	923
305	405	920
306	406	918
307	407	915
308	408	913
309	409	910
310	409	908
311	410	905
312	411	903
313	412	900
314	413	898
315	413	895
316	414	893
317	415	890
318	416	888
319	416	886
320	417	883
321	418	881
322	419	878
323	420	876
324	420	874
325	421	871
326	422	869
327	423	866
328	423	864
329	424	862
330	425	859
331	426	857
332	426	855
333	427	852
334	428	850
335	429	848
336	430	846
337	430	844
338	431	841
339	432	839
340	433	837
341	434	835
342	434	832
343	435	830
344	436	828
345	437	826
346	437	823
347	438	821
348	439	819
349	440	817
350	440	815
351	441	812
352	442	810
353	443	808
354	443	806
355	444	804
356	445	802
357	446	800
358	447	798
359	448	796
360	448	794
361	449	792
362	450	790
363	451	788
364	452	786
365	452	784
366	453	782
367	454	780
368	455	778
369	455	776
370	456	774
371	457	772
372	458	770
373	459	768
374	460	766
375	460	765
376	461	763
377	462	761
378	463	759
379	464	757
380	465	755
381	465	753
382	466	751
383	467	749
384	468	747
385	468	745
386	469	743
387	470	742
388	471	740
389	472	738
390	472	736
391	473	734
392	474	732
393	475	731
394	476	729
395	476	727
396	477	725
397	478	723
398	479	721
399	479	719
400	480	717
401	481	716
402	482	714
403	483	712
404	483	710
405	484	708
406	485	707
407	486	705
408	486	703
409	487	701
410	488	699
411	489	698
412	490	696
413	490	694
414	491	692
415	492	691
416	493	689
417	493	687
418	494	685
419	495	684
420	496	682
421	496	680
422	497	678
423	498	677
424	499	675
425	500	673
426	500	672
427	501	670
428	502	668
429	503	667
430	503	665
431	504	663
432	505	662
433	506	660
434	507	658
435	507	657
436	508	655
437	509	653
438	510	652
439	511	650
440	511	648
441	512	647
442	513	645
443	514	643
444	514	642
445	515	640
446	516	639
447	517	637
448	518	635
449	518	633
450	519	632
451	520	630
452	521	629
453	521	627
454	522	626
455	523	624
456	524	622
457	524	621
458	525	619
459	526	618
460	527	616
461	528	614
462	528	613
463	529	611
464	530	610
465	531	608
466	532	607
467	532	605
468	533	604
469	534	602
470	535	600
471	535	599
472	536	598
473	537	596
474	537	594
475	538	593
476	539	591
477	540	589
478	541	588
479	541	586
480	542	585
481	543	583
482	544	582
483	544	580
484	545	579
485	546	577
486	547	576
487	548	574
488	548	573
489	549	572
490	550	570
491	551	569
492	552	567
493	552	566
494	553	564
495	554	563
496	555	561
497	556	560
498	556	559
499	557	557
500	558	556
501	559	554
502	559	553
503	560	551
504	561	550
505	562	548
506	563	547
507	563	546
508	564	544
509	565	543
510	566	541
511	567	540
512	568	539
513	568	537
514	569	536
515	570	535
516	571	533
517	572	532
518	572	530
519	573	529
520	574	528
521	575	526
522	575	525
523	576	523
524	577	522
525	578	521
526	579	519
527	580	518
528	580	517
529	581	515
530	582	514
531	583	512
532	583	511
533	584	510
534	585	508
535	586	507
536	586	506
537	587	504
538	588	503
539	589	502
540	590	500
541	590	499
542	591	498
543	592	496
544	593	495
545	594	494
546	594	492
547	595	491
548	596	490
549	597	488
550	598	487
551	599	486
552	600	485
553	601	484
554	602	483
555	603	481
556	604	480
557	605	479
558	605	477
559	606	476
560	607	475
561	608	473
562	609	472
563	609	471
564	610	470
565	611	468
566	612	467
567	613	466
568	613	464
569	614	463
570	615	462
571	616	461
572	616	459
573	617	458
574	618	457
575	619	455
576	620	454
577	620	453
578	621	451
579	622	450
580	623	449
581	624	448
582	624	446
583	625	445
584	626	444
585	627	443
586	627	441
587	628	440
588	629	439
589	630	438
590	631	436
591	631	435
592	632	434
593	633	432
594	634	431
595	635	430
596	635	429
597	636	427
598	637	426
599	637	425
600	638	423
601	639	422
602	639	421
603	640	420
604	641	418
605	642	417
606	643	416
607	643	415
608	644	413
609	645	412
610	646	411
611	646	410
612	647	408
613	648	407
614	649	406
615	650	405
616	650	404
617	651	402
618	652	401
619	653	400
620	653	399
621	654	397
622	655	396
623	656	395
624	657	394
625	658	393
626	658	391
627	659	390
628	660	389
629	661	388
630	661	387
631	662	385
632	663	384
633	664	383
634	664	382
635	665	380
636	666	379
637	667	378
638	668	377
639	668	376
640	669	374
641	670	373
642	671	372
643	672	371
644	672	370
645	673	369
646	674	368
647	675	366
648	676	365
649	677	364
650	677	363
651	678	362
652	679	360
653	680	359
654	680	358
655	681	357
656	682	356
657	683	355
658	683	353
659	684	352
660	685	351
661	686	350
662	687	349
663	687	348
664	688	346
665	689	345
666	690	344
667	691	343
668	691	342
669	692	341
670	693	339
671	694	338
672	694	337
673	695	336
674	696	335
675	697	334
676	698	333
677	699	331
678	699	330
679	700	329
680	701	328
681	702	327
682	702	326
683	703	325
684	704	324
685	705	322
686	706	321
687	707	320
688	707	319
689	708	318
690	709	317
691	710	316
692	711	315
693	712	313
694	712	312
695	713	311
696	714	310
697	715	309
698	715	308
699	716	307
700	717	306
701	718	304
702	718	303
703	719	302
704	720	301
705	721	300
706	722	299
707	722	298
708	723	297
709	724	295
710	725	294
711	725	293
712	726	292
713	727	291
714	728	290
715	729	289
716	729	288
717	730	287
718	731	285
719	732	284
720	733	283
721	734	282
722	734	281
723	735	280
724	736	279
725	737	278
726	738	277
727	739	276
728	739	275
729	740	273
730	741	272
731	742	271
732	743	270
733	743	269
734	744	268
735	745	267
736	746	266
737	746	265
738	747	264
739	748	263
740	749	261
741	750	260
742	750	259
743	751	258
744	752	257
745	753	256
746	753	255
747	754	254
748	755	253
749	756	252
750	757	250
751	757	249
752	758	248
753	759	247
754	760	246
755	761	245
756	762	244
757	763	243
758	763	242
759	764	241
760	765	240
761	766	239
762	767	238
763	767	237
764	768	236
765	769	235
766	770	233
767	771	232
768	771	231
769	772	230
770	773	229
771	774	228
772	775	227
773	775	226
774	776	225
775	777	224
776	778	223
777	779	222
778	780	221
779	780	220
780	781	219
781	782	218
782	783	217
783	784	216
784	784	214
785	785	213
786	786	212
787	787	211
788	788	210
789	789	209
790	789	208
791	790	207
792	791	206
793	792	205
794	793	204
795	793	203
796	794	202
797	795	201
798	796	200
799	796	199
800	797	198
801	798	197
802	799	196
803	799	194
804	800	193
805	801	192
806	802	191
807	803	190
808	803	189
809	804	188
810	805	187
811	806	186
812	806	185
813	807	184
814	808	183
815	809	182
816	809	181
817	810	180
818	811	179
819	812	178
820	813	177
821	813	176
822	814	175
823	815	174
824	816	173
825	817	172
826	817	171
827	818	169
828	819	168
829	819	167
830	820	166
831	821	165
832	822	164
833	823	163
834	823	162
835	824	161
836	825	160
837	826	159
838	827	158
839	828	157
840	828	156
841	829	155
842	830	154
843	831	153
844	831	152
845	832	151
846	833	150
847	834	149
848	835	148
849	835	147
850	836	146
851	837	145
852	838	144
853	838	143
854	839	142
855	840	141
856	841	140
857	841	139
858	842	138
859	843	137
860	844	136
861	845	135
862	846	134
863	846	133
864	847	132
865	848	131
866	849	130
867	850	129
868	850	128
869	851	127
870	852	126
871	853	125
872	854	124
873	854	123
874	855	122
875	856	121
876	857	120
877	858	119
878	858	118
879	859	117
880	860	116
881	861	115
882	862	114
883	862	113
884	863	112
885	864	111
886	865	110
887	866	109
888	866	108
889	867	107
890	868	106
891	869	105
892	870	104
893	870	103
894	871	102
895	872	101
896	873	100
897	873	99
898	874	98
899	875	97
900	876	96
901	877	95
902	877	94
903	878	93
904	879	92
905	880	91
906	880	90
907	881	89
908	882	88
909	883	87
910	884	86
911	885	85
912	885	84
913	886	83
914	887	82
915	888	81
916	889	80
917	889	79
918	890	78
919	891	77
920	892	76
921	893	75
922	894	74
923	894	73
924	895	72
925	896	71
926	897	70
927	897	69
928	898	68
929	899	67
930	900	66
931	901	65
932	901	64
933	902	63
934	903	62
935	904	61
936	904	60
937	905	59
938	906	58
939	907	57
940	908	56
941	908	55
942	909	54
943	910	54
944	911	53
945	912	52
946	912	51
947	913	50
948	914	49
949	915	48
950	915	47
951	916	46
952	917	45
953	918	44
954	919	43
955	919	42
956	920	41
957	921	40
958	922	39
959	923	38
960	924	37
961	924	36
962	925	35
963	926	34
964	927	33
965	928	32
966	929	31
967	930	30
968	931	29
969	931	28
970	932	27
971	933	26
972	934	25
973	934	24
974	935	23
975	936	23
976	937	22
977	938	21
978	938	20
979	939	19
980	940	18
981	941	17
982	942	16
983	942	15
984	943	14
985	944	13
986	945	12
987	946	11
988	946	10
989	947	9
990	948	8
991	949	7
992	949	6
993	950	5
994	951	4
995	952	3
996	952	2
997	953	1
998	954	0
999	955	0
